Provinsi,Tahun,Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata,Produktivitas,Produksi_Lag1,Produksi_Lag2,Produktivitas_Lag1,Curah_Hujan_Mean_Provinsi,Curah_Hujan_Anomaly,Curah_Hujan_Kategori,Comfort_Index,Provinsi_Encoded,Curah_Hujan_Sedang,Curah_Hujan_Tinggi,Curah_Hujan_Sangat Tinggi
Bengkulu,2015,578654.0,128833.0,2668.9,83.2,27.0,4.491504505833133,593194.0,622832.0,4.019692082508877,3228.0178571428573,-559.1178571428572,Tinggi,24.96,1,False,True,False
Bengkulu,2016,629224.0,83449.0,3350.1,83.38,26.77,7.540222171625784,578654.0,593194.0,4.491504505833133,3228.0178571428573,122.08214285714257,Sangat Tinggi,24.822226,1,False,False,True
Bengkulu,2017,714017.0,82429.0,3949.8,84.2,26.52,8.66220626235912,629224.0,578654.0,7.540222171625784,3228.0178571428573,721.7821428571428,Sangat Tinggi,24.85584,1,False,False,True
Bengkulu,2018,288810.52,65891.16,3649.9,83.79,26.64,4.3831451745575585,714017.0,629224.0,8.66220626235912,3228.0178571428573,421.88214285714275,Sangat Tinggi,24.835356000000004,1,False,False,True
Bengkulu,2019,296472.07,64406.86,1786.2,83.26,26.56,4.603113239800853,288810.52,714017.0,4.3831451745575585,3228.0178571428573,-1441.8178571428573,Sedang,24.611656,1,True,False,False
Bengkulu,2020,296925.16,64137.28,4144.0,80.18,25.84,4.629525293245987,296472.07,288810.52,4.603113239800853,3228.0178571428573,915.9821428571427,Sangat Tinggi,23.123912,1,False,False,True
Jambi,1993,607529.0,199431.0,1954.0,83.81,26.29,3.0463117569485187,552863.8103571428,552863.8103571428,3.8372376130112493,1998.9897857142857,-44.989785714285745,Sedang,24.547949000000003,2,True,False,False
Jambi,1994,564722.0,184029.0,1824.0,81.25,25.51,3.068657657217069,607529.0,552863.8103571428,3.0463117569485187,1998.9897857142857,-174.98978571428574,Sedang,23.164375,2,True,False,False
Jambi,1995,593502.0,193666.0,2290.1,83.96,26.22,3.064564766143773,564722.0,607529.0,3.068657657217069,1998.9897857142857,291.11021428571416,Tinggi,24.533111999999996,2,False,True,False
Jambi,1996,657650.0,215975.0,2309.1,83.6,26.0,3.0450283597638617,593502.0,564722.0,3.064564766143773,1998.9897857142857,310.11021428571416,Tinggi,24.244,2,False,True,False
Jambi,1997,572269.0,190608.0,1030.1,80.64,26.5,3.002334634432972,657650.0,593502.0,3.0450283597638617,1998.9897857142857,-968.8897857142858,Sedang,23.788800000000002,2,True,False,False
